File	Left Context	Hit	Right Context
2422_tagged.txt	moment_NN1 ._. But_CCB i_MC1 hope_NN1 i_ZZ1 	am_VBM going_VVGK to_TO decide_VVI 	what_DDQ 
3039_tagged.txt	this_DD1 piece_NN1 of_IO paper_NN1 I_PPIS1 	am_VBM going_VVGK to_TO explain_VVI 	what_DDQ 
3211_tagged.txt	a_AT1 piece_NN1 of_IO jewelry_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO tell_VVI 	you_PPY 
3211_tagged.txt	a_AT1 good_JJ time_NNT1 and_CC I_PPIS1 	am_VBM going_VVGK to_TO enjoy_VVI 	my_APPGE 
3218_tagged.txt	in_II good_JJ way_NN1 ._. So_RR I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	something_PN1 
3623_tagged.txt	NN2 Dear_JJ ANON_JJ NAME_NN1 0_MC I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	a_AT1 
3678_tagged.txt	brother_NN1 h_ZZ1 i_ZZ1 brother_NN1 I_PPIS1 	am_VBM going_VVGK to_TO bay_VVI 	a_AT1 
3816_tagged.txt	Balance_NN1 Of_IO Life_NN1 I_PPIS1 	am_VBM going_VVGK to_TO try_VVI 	to_TO 
4092_tagged.txt	south_ND1 of_IO Saudi_NP1 Arabia_NP1 ._. I_PPIS1 	am_VBM going_VVGK to_TO talk_VVI 	about_II 
4671_tagged.txt	i_MC1 	am_VBM going_VVGK to_TO make_VVI 	a_AT1 
4671_tagged.txt	for_IF the_AT weekend_NNT1 ._. First_MD i_ZZ1 	am_VBM going_VVGK to_TO leave_VVI 	my_APPGE 
4671_tagged.txt	the_AT sun_NN1 comes_VVZ up_RP i_MC1 	am_VBM going_VVGK to_TO go_VVI 	to_II 
4752_tagged.txt	I_PPIS1 just_RR accept_VV0 it_PPH1 ._. I_PPIS1 	am_VBM going_VVGK to_TO continue_VVI 	my_APPGE 
4774_tagged.txt	the_AT South_ND1 side_NN1 theater_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	back_RP 
4795_tagged.txt	start_VVI my_APPGE academic_JJ ._. Finally_RR I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	computer_NN1 
5085_tagged.txt	languages_NN2 in_II our_APPGE world_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO discuss_VVI 	English_NN1 
5264_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO make_VVI 	a_AT1 
5264_tagged.txt	rid_VVN of_IO stress_NN1 ._. First_MD I_PPIS1 	am_VBM going_VVGK to_TO leave_VVI 	my_APPGE 
5264_tagged.txt	the_AT sun_NN1 comes_VVZ up_RP I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	to_II 
5297_tagged.txt	him_PPHO1 as_CSA my_APPGE model_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	hime_NN1 
5487_tagged.txt	class_NN1 ._. Instead_CS21% of_CS22 that_CST I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5561_tagged.txt	year_NNT1 I_PPIS1 visited_VVD Japan_NP1 ._. I_PPIS1 	am_VBM going_VVGK to_TO visit_VVI 	another_DD1 
5651_tagged.txt	from_II Saudi_NP1 Arabia_NP1 ._. Today_RT I_PPIS1 	am_VBM going_VVGK to_TO talk_VVI 	about_II 
5663_tagged.txt	after_CS i_MC1 will_NN1@ graduated_VVD i_MC1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5664_tagged.txt	that_CST after_CS i_ZZ1 graduated_JJ i_ZZ1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5665_tagged.txt	after_CS i_MC1 will_NN1@ graduated_VVD i_MC1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5666_tagged.txt	that_CST after_CS I_PPIS1 graduated_VVD I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5669_tagged.txt	after_CS I_PPIS1 will_VM graduate_VVI I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5670_tagged.txt	that_CST after_CS I_PPIS1 graduate_VV0 I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5672_tagged.txt	after_CS I_PPIS1 will_VM graduate_VVI I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5676_tagged.txt	after_CS I_PPIS1 will_VM graduate_VVI I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5677_tagged.txt	that_CST after_CS I_PPIS1 graduate_VV0 I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5690_tagged.txt	NN1 is_VBZ ANON_JJ NAME_NN1 0_MC ._. I_PPIS1 	am_VBM going_VVGK to_TO introduce_VVI 	my_APPGE 
5693_tagged.txt	after_CS I_PPIS1 will_VM graduate_VVI I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5694_tagged.txt	that_CST after_CS I_PPIS1 graduate_VV0 I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5701_tagged.txt	after_CS I_PPIS1 will_VM graduate_VVI I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5702_tagged.txt	that_CST after_CS I_PPIS1 graduate_VV0 I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5707_tagged.txt	after_CS I_PPIS1 will_VM graduate_VVI I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5708_tagged.txt	that_CST after_CS I_PPIS1 graduate_VV0 I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5725_tagged.txt	after_CS I_PPIS1 will_VM graduate_VVI I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5726_tagged.txt	that_CST after_CS I_PPIS1 graduate_VV0 I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5729_tagged.txt	the_AT school_NN1 ?_? She_PPHS1 said_VVD I_PPIS1 	am_VBM going_VVGK to_TO get_VVI 	a_AT1 
5729_tagged.txt	a_AT1 job_NN1 ?_? She_PPHS1 said_VVD I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	a_AT1 
5737_tagged.txt	after_CS I_PPIS1 will_VM graduate_VVI I_PPIS1 	am_VBM going_VVGK to_TO make_VVI 	a_AT1 
5738_tagged.txt	that_CST after_CS l_ZZ1 graduate_VV0 I_PPIS1 	am_VBM going_VVGK to_TO make_VVI 	a_AT1 
5738_tagged.txt	I_PPIS1 learn_VV0 word_NN1 processing_NN1 I_PPIS1 	am_VBM going_VVGK to_TO look_VVI 	for_IF 
5750_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	a_AT1 
5762_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	some_DD 
5765_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO clean_VVI 	my_APPGE 
5805_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO cross_VVI 	the_AT 
5831_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO clean_VVI 	my_APPGE 
5852_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO watch_VVI 	television_NN1 
5909_tagged.txt	i_MC1 	am_VBM going_VVGK to_TO watch_VVI 	television_NN1 
5913_tagged.txt	i_MC1 	am_VBM going_VVGK to_TO take_VVI 	a_AT1 
5942_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO play_VVI 	footpool_NN1 
6403_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	home_RL 
6872_tagged.txt	world_NN1 ._. The_AT students_NN2 who_PNQS I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	with_IW 
7698_tagged.txt	world_NN1 ._. The_AT students_NN2 who_PNQS I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	with_IW 
7713_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO finish_VVI 	my_APPGE 
7738_tagged.txt	lot_NN1 of_IO things_NN2 ._. First_MD I_PPIS1 	am_VBM going_VVGK to_TO finish_VVI 	my_APPGE 
8368_tagged.txt	these_DD2 two_MC countries_NN2 ._. But_CCB I_PPIS1 	am_VBM going_VVGK to_TO enjoy_VVI 	it_PPH1 ._. 
8394_tagged.txt	for_IF me_PPIO1 especially_RR because_CS I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	acadimic_JJ 
8435_tagged.txt	this_DD1 is_VBZ an_AT1 essay_NN1 I_PPIS1 	am_VBM going_VVGK to_TO continue_VVI 	to_TO 
8589_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO write_VVI 	about_II 
8785_tagged.txt	swimming_VVG this_DD1 summer_NNT1 and_CC I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	skiing_VVG@ 
8906_tagged.txt	assistant_JJ teacher_NN1 said_VVD me_PPIO1 I_PPIS1 	am_VBM going_VVGK to_TO give_VVI 	you_PPY '
9060_tagged.txt	assistant_JJ teacher_NN1 said_VVD me_PPIO1 I_PPIS1 	am_VBM going_VVGK to_TO give_VVI 	you_PPY '
9060_tagged.txt	who_PNQS prepared_VVD@ laboratory_NN1 work_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO ask_VVI 	my_APPGE 
9080_tagged.txt	swimming_VVG this_DD1 summer_NNT1 and_CC I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	skiing_VVG@ 
9332_tagged.txt	and_CC I_PPIS1 thought_VVD that_CST I_PPIS1 	am_VBM going_VVGK to_TO get_VVI 	the_AT 
9412_tagged.txt	cold_JJ last_MD winter_NNT1 ._. So_RR I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	down_RP 
9693_tagged.txt	assistant_JJ teacher_NN1 said_VVD me_PPIO1 I_PPIS1 	am_VBM going_VVGK to_TO give_VVI 	you_PPY 
9693_tagged.txt	who_PNQS prepared_VVD@ laboratory_NN1 work_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO ask_VVI 	my_APPGE 
9723_tagged.txt	great_JJ time_NNT1 and_CC also_RR I_PPIS1 	am_VBM going_VVGK to_TO visit_VVI 	her_PPHO1 
10476_tagged.txt	the_AT U._NP1 S._NP1 First_MD I_PPIS1 	am_VBM going_VVGK to_TO talk_VVI 	about_II 
10476_tagged.txt	eat_VVI a_AT1 lot_NN1 ._. Second_NNT1 I_PPIS1 	am_VBM going_VVGK to_TO talk_VVI 	about_II 
10488_tagged.txt	have_VHI good_JJ breakfast_NN1 ?_? Today_RT I_PPIS1 	am_VBM going_VVGK to_TO share_VVI 	with_IW 
10505_tagged.txt	Then_RT after_CS this_DD1 semester_NN1 I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	back_RP 
10529_tagged.txt	summer_NNT1 semester_NN1 in_II Pitt_NP1 I_PPIS1 	am_VBM going_VVGK to_TO return_VVI 	my_APPGE 
10529_tagged.txt	English_NN1 in_II the_AT future_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	English_NN1 
10529_tagged.txt	I_PPIS1 come_VVI back_RP US_NP1 ?_? I_PPIS1 	am_VBM going_VVGK to_TO visit_VVI 	here_RL 
10562_tagged.txt	go_VVI to_II night_NNT1 clubs_NN2 ._. I_PPIS1 	am_VBM going_VVGK to_TO ride_VVI 	a_AT1 
10562_tagged.txt	front_NN1 of_IO the_AT beach_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO get_VVI 	drunk_JJ ._. 
10571_tagged.txt	This_DD1 summer_NNT1 I_PPIS1 	am_VBM going_VVGK to_TO travel_VVI 	to_II 
10571_tagged.txt	Angeles_NP1 and_CC San_NP1 Diego_NP1 ._. I_PPIS1 	am_VBM going_VVGK to_TO see_VVI 	the_AT 
10571_tagged.txt	for_IF the_AT next_MD semester_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO improve_VVI 	my_APPGE 
10594_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO return_VVI 	to_II 
10594_tagged.txt	enjoy_VVI and_CC be_VBI relaxed_VVN@ ._. I_PPIS1 	am_VBM going_VVGK to_TO research_VVI 	about_II 
10594_tagged.txt	on_II the_AT Net_NN1 ._. And_CC I_PPIS1 	am_VBM going_VVGK to_TO plan_VVI 	in_II 
10611_tagged.txt	If_CS I_PPIS1 got_VVD that_DD1 I_PPIS1 	am_VBM going_VVGK to_TO visit_VVI 	my_APPGE 
10611_tagged.txt	complete_VV0 The_AT language_NN1 study_NN1 I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	the_AT 
10611_tagged.txt	the_AT tofal_JJ exam_NN1 and_CC I_PPIS1 	am_VBM going_VVGK to_TO request_VVI 	in_II 
10611_tagged.txt	in_II the_AT academic_JJ study_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	Math_NN1 ._. 
10617_tagged.txt	have_VHI the_AT spring_NN1 vacation_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO travel_VVI 	to_II 
10617_tagged.txt	Vegas_NP1 is_VBZ fantastic_JJ city_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO tarvel_VVI 	to_II 
10648_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	on_II 
10648_tagged.txt	Journey_NN1 to_II other_JJ state_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	in_II 
10648_tagged.txt	study_VVI in_II my_APPGE major_JJ ._. I_PPIS1 	am_VBM going_VVGK to_TO meet_VVI 	American_JJ ._. 
10648_tagged.txt	going_VVGK to_TO meet_VVI American_JJ ._. I_PPIS1 	am_VBM going_VVGK to_TO volunteer_VVI 	to_II 
10648_tagged.txt	to_TO volunteer_VVI to_II nursing_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO get_VVI 	a_AT1 
10648_tagged.txt	get_VVI a_AT1 drive_NN1 license_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	computer_NN1 ._. 
10648_tagged.txt	going_VVGK to_TO study_VVI computer_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO learn_VVI 	how_RRQ 
10648_tagged.txt	learn_VVI how_RRQ to_TO swim_VVI ._. I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	to_II 
10671_tagged.txt	When_CS decided_VVN which_DDQ school_VV0% I_PPIS1 	am_VBM going_VVGK to_TO apply_VVI 	University_NN1 
10675_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO visit_VVI 	Washington_NP1 
10675_tagged.txt	will_VM prepare_VVI something_PN1 ._. First_MD I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	a_AT1 
10675_tagged.txt	When_CS I_PPIS1 am_VBM ready_JJ I_PPIS1 	am_VBM going_VVGK to_TO leave_VVI ._. 	In_II 
10675_tagged.txt	leave_VVI ._. In_II Washington_NP1 DC_NP1 I_PPIS1 	am_VBM going_VVGK to_TO visit_VVI 	White_NP1 
10755_tagged.txt	I_ZZ1@ always_RR answer_VV0 that_CST I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	to_II 
10775_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO arrive_VVI 	the_AT 
10983_tagged.txt	i_MC1 	am_VBM going_VVGK to_TO buy_VVI 	a_AT1 
11480_tagged.txt	is_VBZ very_RG dark_JJ but_CCB I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	a_AT1 
11490_tagged.txt	out_RP my_APPGE room_NN1 ._. Also_RR I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	some_DD 
12231_tagged.txt	week_NNT1 is_VBZ Spring_NN1 Break_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	on_II 
12231_tagged.txt	Ohio_NP1 state_NN1 ._. After_CS that_CST I_PPIS1 	am_VBM going_VVGK to_TO plan_VVI 	to_II 
12231_tagged.txt	friends_NN2 in_II Pittsburgh_NP1 ._. And_CC I_PPIS1 	am_VBM going_VVGK to_TO bay_VVI 	a_AT1 
12231_tagged.txt	the_AT zoos_NN2 ._. After_CS that_CST I_PPIS1 	am_VBM going_VVGK to_TO review_VVI 	the_AT 
12233_tagged.txt	This_DD1 spring_NN1 break_VV0 I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	to_II 
12233_tagged.txt	ticket_NN1 was_VBDZ very_RG expensive_JJ ._. I_PPIS1 	am_VBM going_VVGK to_TO wait_VVI 	for_IF 
12698_tagged.txt	If_CS I_PPIS1 	am_VBM going_VVGK to_TO start_VVI 	a_AT1 
12894_tagged.txt	the_AT human_JJ body_NN1 and_CC I_PPIS1 	am_VBM going_VVGK to_TO explain_VVI 	how_RRQ 
12894_tagged.txt	propagation_NN1 of_IO a_AT1 wave_NN1 I_PPIS1 	am_VBM going_VVGK to_TO explain_VVI 	the_AT 
12956_tagged.txt	Writing_NN1 4_MC 5_MC 23_MC 2008_MC Today_RT I_PPIS1 	am_VBM going_VVGK to_TO talk_VVI 	about_II 
13043_tagged.txt	to_TO make_VVI Kabab_NP1 sandwich_NN1 I_PPIS1 	am_VBM going_VVGK to_TO introduce_VVI 	how_RRQ 
13046_tagged.txt	make_VVI friends_NN2 easily_RR ._. Here_RL I_PPIS1 	am_VBM going_VVGK to_TO illustrate_VVI 	how_RRQ 
13047_tagged.txt	I_PPIS1 cooked_VVD this_DD1 ._. Now_RT I_PPIS1 	am_VBM going_VVGK to_TO tell_VVI 	you_PPY 
13048_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO introduce_VVI 	how_RRQ 
13129_tagged.txt	language_NN1 ._. Especially_RR listening_VVG ._. But_CCB I_PPIS1 	am_VBM going_VVGK to_TO try_VVI 	to_TO 
13144_tagged.txt	live_VV0 in_II Pittsburgh_NP1 ._. So_RR I_PPIS1 	am_VBM going_VVGK to_TO compare_VVI 	Gunsan_JJ 
13155_tagged.txt	similarities_NN2 and_CC differences_NN2 ._. So_RR I_PPIS1 	am_VBM going_VVGK to_TO compare_VVI 	Gunsan_JJ 
13293_tagged.txt	USA_NP1 ._. But_CCB before_RT@ that_CST I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	a_AT1 
13299_tagged.txt	semester_NN1 at_II the_AT ELI_NN1 i_ZZ1 	am_VBM going_VVGK to_TO study_VVI 	toefl._NNU 
13299_tagged.txt	for_IF travel_NN1 anywhere_RL because_CS i_ZZ1 	am_VBM going_VVGK to_TO study_VVI 	for_IF 
13299_tagged.txt	for_IF toefl_NN1 and_CC Gmat._NP1 i_ZZ1 	am_VBM going_VVGK to_TO plan_VVI 	for_IF 
13302_tagged.txt	I_PPIS1 am_VBM sure_JJ that_CST I_PPIS1 	am_VBM going_VVGK to_TO attend_VVI 	ELI_JJ 
13302_tagged.txt	university_NN1 of_IO Pittsburgh_NP1 ._. And_CC I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	hard_RR 
13317_tagged.txt	between_II each_PPX221 other_PPX222 ._. What_DDQ I_PPIS1 	am_VBM going_VVGK to_TO say_VVI 	is_VBZ 
13324_tagged.txt	NN1 on_II Aug_NPM1 2_MC ._. Then_RT I_PPIS1 	am_VBM going_VVGK to_TO travel_VVI 	for_IF 
13324_tagged.txt	travel_VVI for_IF two_MC weeks_NNT2 ._. I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	to_II 
13343_tagged.txt	university_NN1 of_IO Pittsburgh_NP1 ._. Then_RT I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	vacation_NN1 
13343_tagged.txt	I_PPIS1 get_VV0 the_AT Toefl_NN1 I_PPIS1 	am_VBM going_VVGK to_TO improve_VVI 	my_APPGE 
13343_tagged.txt	any_DD of_IO those_DD2 things_NN2 I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	two_MC 
13667_tagged.txt	not_XX come_VVI to_II class_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	tomorrow_RT ._. 
13667_tagged.txt	I_PPIS1 copy_VV0 your_APPGE note_NN1 ?_? I_PPIS1 	am_VBM going_VVGK to_TO pay_VVI 	for_IF 
13716_tagged.txt	two_MC days_NNT2 off_RP because_CS I_PPIS1 	am_VBM going_VVGK to_TO extract_VVI 	my_APPGE 
14048_tagged.txt	been_VBN L._NP1 A._NP1 So_RR I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	L._NP1 
14114_tagged.txt	world_NN1 has_VHZ problems_NN2 ._. Today_RT I_PPIS1 	am_VBM going_VVGK to_TO talk_VVI 	about_II 
14459_tagged.txt	my_APPGE wife_NN1 ._. (_( not_XX me_PPIO1 )_) I_PPIS1 	am_VBM going_VVGK to_TO try_VVI 	make_VV0 
14461_tagged.txt	graduate_VVI my_APPGE school_NN1 ._. Then_RT I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	a_AT1 
14461_tagged.txt	life_NN1 with_IW my_APPGE family_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO travel_VVI 	round_II 
14464_tagged.txt	the_AT morning_NNT1 to_II afternoon_NNT1 I_PPIS1 	am_VBM going_VVGK to_TO attend_VVI 	the_AT 
14477_tagged.txt	at_II the_AT ELI_NN1 but_CCB I_PPIS1 	am_VBM going_VVGK to_TO learn_VVI 	other_JJ 
14556_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO talk_VVI 	about_II 
14564_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO talk_VVI 	about_II 
14582_tagged.txt	in_II my_APPGE major_JJ ._. Today_RT I_PPIS1 	am_VBM going_VVGK to_TO apply_VVI 	for_IF 
14948_tagged.txt	a_AT1 letter_NN1 to_II you_PPY ._. I_PPIS1 	am_VBM going_VVGK to_TO tell_VVI 	you_PPY 
15067_tagged.txt	friends_NN2 ._. First_MD of_IO all_DB I_PPIS1 	am_VBM going_VVGK to_TO bring_VVI 	with_IW 
15186_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO write_VVI 	about_II 
15274_tagged.txt	new_JJ policy_NN1 about_II Internet_NP1 ._. I_PPIS1 	am_VBM going_VVGK to_TO write_VVI 	why_RRQ 
15274_tagged.txt	policy_NN1 that_CST is_VBZ why_RRQ I_PPIS1 	am_VBM going_VVGK to_TO write_VVI 1_	MC1 paragraph_
15278_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO write_VVI 	down_RP 
15290_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO talk_VVI 	about_II 
15584_tagged.txt	After_CS After_CS he_PPHS1 comes_VVZ I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	to_II 
15812_tagged.txt	NP1@ Do_VD0 n't_XX worry_VVI ._. I_PPIS1 	am_VBM going_VVGK to_TO bring_VVI 	some_DD 
15861_tagged.txt	and_CC get_VV0 the_AT exams_NN2 I_PPIS1 	am_VBM going_VVGK to_TO move_VVI 	to_II 
15861_tagged.txt	in_II the_AT United_NP1 States_NP1 I_PPIS1 	am_VBM going_VVGK to_TO visit_VVI 	many_DA2 
15874_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	back_RP 
15886_tagged.txt	objective_NN1 ._. When_CS I_PPIS1 said_VVD I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	US._NP1 
15894_tagged.txt	plans_NN2 First_MD of_IO all_DB I_PPIS1 	am_VBM going_VVGK to_TO register_VVI 	in_II 
15903_tagged.txt	the_AT beginning_NN1 of_IO December_NPM1 I_PPIS1 	am_VBM going_VVGK to_TO visit_VVI 	my_APPGE 
15935_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO write_VVI 	about_II 
16144_tagged.txt	graduate_NN1 school_NN1 in_II Geology_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	in_II 
16144_tagged.txt	in_II University_NN1 of_IO Pittsburgh_NP1 ._. I_PPIS1 	am_VBM going_VVGK to_TO start_VVI 	in_II 
16151_tagged.txt	II Pittsburgh_NP1 5_MC months_NNT2 ago_RA ._. I_PPIS1 	am_VBM going_VVGK to_TO apply_VVI 	to_II 
16168_tagged.txt	buy_VVI some_DD food_NN1 ._. Next_MD I_PPIS1 	am_VBM going_VVGK to_TO attend_VVI 	worship_NN1 ._. 
